"SEASON","DATE","HOME","HPTS","H2PM","H2PA","H3PM","H3PA","HFTM","HFTA","HORB","HDRB","HAST","HSTL","HTOV","HBLK","HPF","AWAY","APTS","A2PM","A2PA","A3PM","A3PA","AFTM","AFTA","AORB","ADRB","AAST","ASTL","ATOV","ABLK","APF"
"2014-15",20150604,"GSW",108,29,61,10,27,20,22,11,37,24,8,12,5,16,"CLE",100,30,63,9,31,13,19,13,32,19,10,11,5,20
"2014-15",20150607,"GSW",93,25,48,8,35,19,25,10,35,16,11,18,7,31,"CLE",95,20,63,9,27,28,40,14,41,14,11,13,3,24
"2014-15",20150609,"CLE",96,26,55,9,21,17,24,6,37,15,9,14,8,16,"GSW",91,24,56,12,34,7,12,18,28,21,6,14,7,25
"2014-15",20150611,"CLE",82,25,61,4,27,20,28,16,33,16,2,9,3,19,"GSW",103,24,47,12,30,19,27,6,38,24,5,7,5,21
"2014-15",20150614,"GSW",104,24,49,12,26,20,34,11,32,25,7,16,2,25,"CLE",91,20,46,12,35,15,21,10,27,17,10,10,4,28
"2014-15",20150616,"CLE",97,26,56,6,26,27,39,16,40,14,3,16,7,26,"GSW",105,24,51,13,34,18,29,7,32,28,11,9,4,27
"2015-16",20160416,"ATL",102,30,60,5,26,27,35,13,40,23,4,11,9,20,"BOS",101,26,67,11,35,16,19,15,35,27,6,10,6,32
"2015-16",20160416,"GSW",104,29,66,10,25,16,24,15,38,26,10,15,7,22,"HOU",78,24,62,6,22,12,24,13,38,16,10,24,6,28
"2015-16",20160416,"OKC",108,24,45,12,35,24,28,14,42,23,7,18,6,25,"DAL",70,21,66,4,18,16,26,9,24,16,5,12,0,25
"2015-16",20160416,"TOR",90,26,60,4,19,26,38,20,32,17,6,19,5,27,"IND",100,23,58,11,21,21,29,9,29,19,11,13,8,25
"2015-16",20160417,"CLE",106,27,53,12,35,16,21,12,28,25,7,4,4,18,"DET",101,22,44,15,29,12,16,5,32,24,4,10,2,21
"2015-16",20160417,"LAC",115,36,61,6,17,25,39,11,37,23,7,9,7,23,"POR",95,23,53,10,30,19,26,10,30,23,6,12,2,28
"2015-16",20160417,"MIA",123,40,67,9,18,16,21,14,28,27,7,6,4,24,"CHA",91,22,48,6,17,29,37,7,21,11,5,11,2,17
"2015-16",20160417,"SAS",106,32,59,10,22,12,13,9,35,22,13,12,9,11,"MEM",74,23,61,8,18,4,6,10,25,17,7,16,5,16
"2015-16",20160418,"GSW",115,32,58,8,23,27,38,13,26,27,10,12,6,24,"HOU",106,25,54,10,25,26,33,12,25,21,4,19,5,34
"2015-16",20160418,"OKC",84,24,60,7,32,15,18,19,35,11,9,15,4,19,"DAL",85,30,63,5,19,10,19,11,34,14,8,12,4,17
"2015-16",20160418,"TOR",98,30,62,5,18,23,25,12,32,19,8,13,5,25,"IND",87,25,50,4,20,25,30,6,27,13,7,13,3,23
"2015-16",20160419,"ATL",89,21,53,11,29,14,16,3,46,20,7,15,15,16,"BOS",72,23,60,5,28,11,12,10,33,16,5,14,10,15
"2015-16",20160419,"SAS",94,22,49,9,17,23,28,3,41,19,8,17,10,18,"MEM",68,26,71,2,15,10,18,16,28,14,14,13,2,24
"2015-16",20160420,"CLE",107,20,42,20,38,7,14,6,31,23,7,12,1,24,"DET",90,30,61,4,17,18,32,11,29,19,7,12,4,18
"2015-16",20160420,"LAC",102,32,66,8,21,14,25,12,40,20,7,9,9,18,"POR",81,26,65,5,26,14,16,15,37,20,6,10,3,20
"2015-16",20160420,"MIA",115,35,60,9,16,18,22,3,32,19,6,8,6,25,"CHA",103,37,73,1,16,26,33,15,24,9,3,7,1,16
"2015-16",20160421,"DAL",102,30,53,6,23,24,35,6,23,24,9,12,3,27,"OKC",131,30,51,15,27,26,35,9,33,28,10,14,5,27
"2015-16",20160421,"HOU",97,25,56,11,36,14,23,16,36,18,9,16,4,24,"GSW",96,28,54,6,25,22,29,8,35,23,6,14,6,23
"2015-16",20160421,"IND",85,20,46,6,22,27,33,9,29,16,3,16,6,18,"TOR",101,29,63,10,31,13,16,15,30,18,6,11,4,27
